Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number,housing_price_index
0,98575,1,142,73,13.7,0,8.2,12.3,12.3,19.2,15.1,12.3,2.7,4.1,2,290.76
1,98068,10,256,108,0,0,2.8,0,13.9,24.1,7.4,39.8,12,0,11,265.53
2,98814,6,376,217,2.3,26.7,4.6,14.3,12.4,23.5,6,10.1,0,0,0,239.77
3,98638,10,1225,493,4.3,5.1,8.9,15,13.8,21.9,14.4,10.5,2.2,3.9,0,172.13
4,98605,3,1165,417,5,5.3,15.3,8.9,12.7,24,13.9,13.4,1.4,0,2,366.78
5,98948,5,13196,3505,9.4,7.4,12.6,15.6,18.3,19.1,6.9,6.9,3.1,0.7,0,329.81
6,98828,14,2900,873,4.7,0,14.1,13.5,7.4,32.8,13.3,11,0,3.2,0,351.62
7,99001,15,6553,1363,5.6,9.9,13,14.7,13.5,21.5,13.6,7.2,1,0,2,263.09
8,98631,15,3595,1725,10.3,9.2,14.6,12.5,13.2,14.8,15.5,7.6,1.3,0.9,5,246.64
9,98439,10,5558,2030,17.2,3.8,18.8,14.2,15.8,18.4,7.7,3.5,0,0.6,0,365.54
10,98550,23,11194,4737,12.1,6,11.2,14.6,13.7,20.1,7.8,10.2,2.3,1.9,0,383.21
11,98266,10,3566,1408,14.1,5,23.1,4.6,18.1,11.4,15.8,7.8,0,0,0,309.58
12,99030,1,942,397,6.5,2.3,5.5,11.8,8.6,18.9,28.7,13.6,4,0,0,294.22
13,98591,20,3292,1448,4.6,6.7,6.8,20.2,14.9,21.7,11.3,11.5,1.4,1,0,257.47
14,99116,2,1600,687,8.4,2.9,9.8,9.8,19.4,20.1,10.8,14.8,3.9,0.1,0,378.01
15,98315,19,6046,1264,5.1,0.7,12.1,11.4,19,34.6,11.8,5.4,0,0,12,1019.37
16,98645,16,1263,465,1.1,8.2,4.1,10.1,16.8,14,20.9,15.7,9.2,0,0,352.37
17,99323,4,3594,1305,2.5,2.4,4.4,8.9,13.6,21.6,16.2,24,4,2.4,0,236.77
18,98649,3,1195,398,9.8,0,0,11.3,17.6,23.1,12.1,22.1,1.3,2.8,0,230.68
19,98582,2,403,185,17.3,13,0,0,5.9,0,29.2,34.6,0,0,0,383.82
20,98320,12,1211,544,7.2,5.7,14.7,10.1,17.6,24.1,8.5,5,3.5,3.7,0,215.61
21,99111,9,4269,1809,8.3,3,10.9,10.2,17.9,16.7,11.8,16.3,3.5,1.4,0,375.54
22,99181,3,1808,744,13.4,7.7,10.8,15.1,22,16,5.1,3.5,1.7,4.7,0,209.21
23,98571,12,639,146,0,0,0,0,32.9,43.2,0,11,0,13,0,290.76
24,98560,2,180,73,0,4.1,4.1,13.7,23.3,34.2,5.5,0,15.1,0,0,373.44
25,98845,2,231,81,2.5,6.2,7.4,14.8,19.8,34.6,8.6,1.2,2.5,2.5,0,241.95
26,98351,10,940,414,4.1,8,21.3,0,13.3,22.9,15.2,9.9,2.2,3.1,0,225.8
27,99036,11,1528,583,1.9,1.5,0.9,10.8,23,19.6,6.3,25.2,0.7,10.1,0,350.58
28,99009,15,3739,1375,10.1,2.8,10.8,6.5,7.7,25.1,18.9,12.1,1.9,4.1,0,333.58
29,98557,17,3262,1244,4.6,5,9.2,10.6,18.3,20.3,15.3,13.9,1.6,1.3,0,373.44
30,98295,9,2727,946,3.5,6.3,7,12.5,19.3,23.9,11.3,12.9,2.9,0.4,0,330.79
31,98279,24,562,276,1.1,7.2,7.2,7.2,23.9,21,5.4,15.2,6.2,5.4,1,1047.1
32,98357,3,1608,505,12.3,6.9,15.2,15,10.9,20.2,11.5,5.1,2.4,0.4,5,239.71
33,98421,4,729,10,0,0,0,0,0,40,0,60,0,0,16,634.84
34,98643,2,425,204,2.5,2,13.2,15.7,12.3,23,10.3,21.1,0,0,0,546.91
35,98548,21,2466,1115,10.1,5.6,14.2,13.5,25.6,12.5,13.8,4.3,0.4,0,0,474.61
36,99170,5,992,417,7,5.5,12.7,10.8,23.7,13.2,11.5,10.8,4.1,0.7,3,228.72
37,98325,25,1625,702,3.7,3.1,0,15.1,10.5,31.1,14.7,17.4,4.4,0,2,242.38
38,99109,7,5245,2251,7.5,6.2,13.8,18.9,13.9,20.3,10.6,5.5,3.1,0.2,0,388.28
39,98542,3,517,204,11.8,7.8,10.8,8.8,2,27.5,2.9,28.4,0,0,0,422.67
40,99141,19,5140,2143,4.9,6.5,11.1,15.9,14.8,24.5,11.6,8.2,1.8,0.8,0,305.68
41,98624,7,1728,718,3.1,9.9,15.6,14.3,14.6,23.7,4.2,13,1.1,0.6,0,192.79
42,98247,36,10391,3335,3.7,4.6,6.4,12.3,16.4,22.3,13.9,12.8,3,4.5,1,573.65
43,99320,31,9122,3487,6.5,2.3,7.3,9.8,16.4,23,13.5,16.8,3,1.5,3,329.71
44,99361,5,1747,728,9.5,7.3,12.5,5.1,9.9,23.6,10.4,16.6,2.5,2.6,1,301.5
45,98385,3,303,112,0.9,27.7,6.3,0,10.7,19.6,16.1,12.5,6.3,0,0,485.5
46,98846,3,1344,443,7.9,11.7,15.3,7.9,9.7,23,14,3.4,1.8,5.2,1,158.03
47,98595,8,2780,1231,8,4.5,17.1,15.4,21.6,14.1,6.5,10.6,1.8,0.4,3,333.5
48,99122,4,3509,1492,3.8,8.1,7.8,9.7,17.4,21.9,12,14.3,4,0.9,1,265.87
49,98941,5,788,313,7,4.8,12.8,5.1,17.3,19.5,21.4,5.8,6.4,0,0,269.88
50,98851,10,3904,1752,6.5,10.7,17.5,14.7,15.6,17.7,6.7,8.1,1.8,0.6,1,231.01
51,98936,11,5929,1828,4.1,5.1,10.1,7.7,18,23.7,15.8,14.2,0.9,0.3,0,305.07
52,98850,6,1394,540,2.2,14.6,16.3,8.3,18.3,20,7,2.2,10.9,0,0,326.65
53,98932,5,5079,1269,4.8,1.7,15,11.5,25.8,25.1,8,7.1,0.7,0.3,0,210.96
54,98281,31,1203,650,5.8,9.7,8.8,16.8,15.4,16.8,9.1,6.9,6.3,4.5,0,277.33
55,98663,111,13427,5810,8.1,4.5,9.6,9.8,15.3,21,14.5,11.6,3.4,2.2,11,808.22
56,98925,6,517,242,5.4,5.8,9.9,14.9,12.8,24.8,11.6,14.9,0,0,0,159.75
57,99135,1,363,132,5.3,0.8,6.1,4.5,10.6,24.2,15.9,25,0,7.6,0,198.86
58,99185,3,1267,525,9.1,5.7,13,11.6,19.4,11.2,16.2,12.4,0,1.3,0,209.21
59,98537,6,2018,797,0.3,5.5,7.3,11.8,16.9,25.5,17.1,10.8,2.5,2.4,0,337.27
60,98564,5,2031,908,5.2,3.4,20,9.7,18.2,21.6,7.8,9.6,3.3,1.2,3,265.21
61,98849,5,1250,479,2.7,4.4,7.3,18.8,16.7,30.1,9.2,10.4,0,0.4,0,326.65
62,99169,14,2521,1010,6.3,5,11.9,9.4,20.3,18.1,9.1,10.4,7.9,1.6,9,228.72
63,98951,7,13582,3598,6.1,6.9,13.1,16.6,18.2,19.1,9.8,8.3,1.1,0.9,1,291.78
64,98547,4,1114,529,0,26.3,14.9,7.6,21.2,12.1,13.2,2.5,0,2.3,0,244.28
65,98937,8,3646,1484,2,1.6,9.3,6.7,21.9,30.9,13.4,9.3,3,1.9,0,295.3
66,98588,12,1570,756,5.7,3.6,19.4,6.5,5.4,26.7,6.5,9.8,8.7,7.7,0,298.44
67,98823,27,11336,3745,5.3,5.3,9.5,8.2,12.6,23.6,19.9,11.6,0.7,3.2,2,367.14
68,99025,13,5067,1892,2.7,0.8,3.4,7.2,14,20.6,17.9,26.3,4.8,2.3,0,467.77
69,98363,64,14210,5553,7.5,6.1,10.6,10.8,14.6,23.6,11,11.3,3.7,0.8,8,565.62
70,99033,2,1020,399,4,7,13.5,9.8,19,16.8,18.8,9.5,0,1.5,0,248.43
71,98651,15,816,323,1.9,1.2,5.3,11.1,21.1,20.7,13,14.9,2.2,8.7,0,264.62
72,98862,30,2360,1001,5.9,7.2,5.8,11.2,11,22.6,24,5,5,2.4,5,267.74
73,98538,1,236,97,3.1,8.2,7.2,13.4,17.5,11.3,14.4,14.4,8.2,2.1,0,337.27
74,99156,19,8122,3416,10.5,7.9,12.6,13.5,13.1,20.1,12.2,6.1,2.9,1,2,461.88
75,98251,27,4259,1812,7.6,4.2,7.7,7.3,12,15.8,19.3,19.7,3.2,3.1,0,367.4
76,98528,60,9402,3202,4.2,4.7,11.5,8.1,11.5,23.5,13.6,13.7,4.2,4.9,2,472.4
77,98611,33,10174,3878,3.6,2.4,11.6,9.4,12.5,22.5,16.5,16.4,3.5,1.6,2,389.17
78,98833,6,143,51,0,0,15.7,0,52.9,13.7,0,17.6,0,0,1,459.78
79,98443,31,5821,2239,3.8,0.8,9.4,10.5,9.6,20.6,13.6,16.8,10.7,4.2,0,866.43
80,99216,59,25259,10390,5.7,4.8,15.2,12.4,18.4,19.3,12,8.4,2.7,1.1,10,858.49
81,98243,1,472,217,5.5,4.6,0,9.2,7.4,8.3,23,30.4,7.8,3.7,0,254.39
82,98433,47,18335,3958,3.2,0.9,6.4,17.9,27,28.3,11,4.9,0.3,0,1,365.54
83,99133,3,1675,754,15.4,6,8.6,12.7,19.5,16.3,6.5,12.7,0.5,1.7,0,198.86
84,98674,102,11776,4093,3.1,2.6,8.3,9.3,11.8,26,12.6,15.8,6.3,4.3,1,408.45
85,98626,82,24068,9098,10,6.1,10.7,10.4,15,20.1,11.6,12,3.3,0.9,16,705.62
86,98331,7,6382,2439,10.7,7.4,13.7,18.8,16.1,16.3,9.6,6.2,0.5,0.7,20,274.2
87,98648,35,2775,1230,11.9,8.4,9.3,11.9,9.8,24.3,8.8,10.9,3.3,1.5,8,253.27
88,99003,10,4744,1977,5.7,3.4,8.2,7.4,13.8,21.6,15.2,15.3,6.7,2.7,0,412.66
89,98337,23,6765,2999,10.9,10,11.6,14.3,9.7,17.7,14.7,5.3,4.9,0.7,16,463.51
90,98286,6,199,87,1.1,11.5,10.3,8,10.3,9.2,11.5,13.8,10.3,13.8,0,895.84
91,99180,3,1015,368,12.5,6.5,11.4,17.9,6.5,19.3,6.5,12.5,4.3,2.4,0,228.72
92,98596,23,7027,2522,7.1,3.8,15,11.6,20.7,15.9,13,10.5,2.2,0.2,0,394.34
93,99204,33,5832,3374,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2,3,408.6
94,99403,27,20080,8474,7.5,6.9,12.8,13.6,16,16.9,11.8,8.7,4.8,1.1,2,650.19
95,98360,102,12944,4392,2.1,2.4,4.1,8,11.5,19.4,23.9,20.3,6.3,1.9,0,388.8
96,99006,39,12155,4354,4.6,3.4,8.1,11.4,16.7,19,16.3,14.7,3.8,2.1,2,408.24
97,99114,27,11764,5011,9.2,5.7,11,11.7,17.2,17.6,12.6,10.4,2.8,1.7,4,378.01
98,98812,8,5098,1545,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8,0,239.77
99,98620,22,7095,2792,13.7,6,9.2,12.4,10.9,25.9,11.4,10.1,0,0.4,0,366.17
100,98592,22,1313,567,0,5.1,4.9,19.6,11.5,26.5,10.8,9.3,6.9,5.5,3,280.62
101,98947,3,3119,919,2.5,2.8,10,17.3,25.8,18.2,5.9,8.7,6.3,2.5,0,232.82
102,99023,4,720,247,4.5,0,0,7.7,16.2,12.1,21.1,3.2,29.6,5.7,0,268.54
103,98239,106,7113,3220,3.7,5.4,12,10.1,11.3,15.7,13.6,17.7,8,2.4,0,609.73
104,98355,5,638,276,14.9,10.5,16.7,12,6.5,7.6,13,17,1.8,0,0,633.59
105,98346,161,10016,3778,3.9,3.6,5.8,12.5,10.1,15.1,18.3,18.8,6.3,5.5,6,532.63
106,98077,48,14678,4895,4.3,0.4,1.3,3.4,6.8,8.2,12.7,17.5,15.2,30.1,0,1357.48
107,99027,27,6169,2390,6.4,5.3,10.6,10.3,13.2,16.9,13.3,16.4,5.6,1.9,0,438.3
108,98908,128,35660,14286,3.7,4.2,8.6,11.4,16,18.6,13.8,14.6,5.3,3.8,2,726.36
109,99115,6,1303,477,7.5,5.2,11.3,9.9,15.3,19.3,17,8.6,3.8,2.1,1,378.01
110,98934,5,1057,402,4.5,4.7,14.9,15.2,15.2,20.6,16.2,8.7,0,0,0,173.72
111,98446,59,9887,3912,3.7,5.5,7.8,7.7,11.4,25.1,17.1,13.6,5.4,2.7,2,1112.21
112,98946,5,545,230,4.8,2.6,10,11.3,8.7,23.5,10,22.6,6.5,0,0,326.13
113,98261,64,2595,1233,6.4,5.4,12.3,7.9,16.7,15.3,11.5,16.2,3.2,4.9,2,185.06
114,98376,26,1668,786,10.6,7.6,12.2,13.6,12.7,14.4,5.5,17.6,3.6,2.3,0,234.69
115,98801,169,42670,14958,6,5.2,11.6,10,15.4,18.7,12.5,13.2,3.3,3.9,38,1049.31
116,98499,136,30630,12635,9.8,7.1,14.3,15.7,14.6,15,12.4,7.4,1.6,2.2,9,1074.17
117,98635,19,1637,770,3.6,5.1,11.6,26,18.3,21.6,2.9,4.3,6.8,0,0,284.12
118,99326,10,6178,1349,6.4,7.9,16.1,5.3,9.7,28.3,14.3,9.3,2.3,0.4,1,116
119,99337,112,30222,10763,2.7,3.9,8.8,7.1,13.8,19.2,16.6,18.4,4.4,5,2,584.32
120,99324,22,9522,3684,7.1,5.5,14.2,14.4,18.5,17.6,9.4,9.1,2.9,1.4,2,396.22
121,99148,8,1889,833,11,2.5,11.2,8.3,17.5,24.6,12,8.2,2.9,1.8,0,340.59
122,99207,85,29652,11700,9.7,8.6,18.7,14.3,17.6,18.3,7.9,4.1,0.6,0.2,0,470.45
123,98831,23,2931,1293,7.3,9.4,8.7,3.2,15,15.4,22.5,15.1,1.2,2.2,4,459.78
124,98832,2,334,88,18.2,0,8,8,4.5,5.7,11.4,34.1,10.2,0,0,459.78
125,98844,2,4532,2077,6.9,9.6,15.3,18.1,15.6,14.5,9,7,3.9,0,5,241.95
126,98603,7,1239,483,10.4,0,7.2,6.2,15.7,26.3,12.2,16.1,4.1,1.7,0,212.43
127,98601,16,3316,1042,1.1,3.1,13,13.2,9.3,20,20.7,14.2,5.5,0,0,355.13
128,98563,35,7575,3023,4.8,4.5,9.3,6.3,19,21.9,12.9,12.9,2.4,6,0,582.98
129,99021,37,8765,3472,4.8,1.4,10.5,7.1,14.5,26.1,12.3,15.5,3.3,4.6,2,395.23
130,99022,20,8890,3320,6.1,4.7,8.9,10,13.2,24,13.6,12.3,4.9,2.3,2,401.63
131,99217,56,18864,7075,9.3,6,10.8,9.8,17.6,20.7,12.7,8.3,1.9,3,4,398.8
132,98930,11,16599,4591,3.8,6.2,13.6,13.6,20.2,20.6,10,8.9,2,1,0,378.69
133,98520,76,23904,8102,8.4,7.2,11.6,11.6,15.7,20.7,9.4,11.3,2.4,1.7,12,364.79
134,98342,40,1422,590,4.1,3.6,8.6,5.6,10.3,21,15.8,16.8,7.8,6.4,0,368.44
135,98380,56,4835,1794,3.7,1.8,8.5,5.5,17.1,10.3,17.8,21.2,8.4,5.7,0,344.69
136,98365,78,4501,2103,7.3,2.8,11.6,8.9,12.2,18.8,13.6,18.5,3.5,2.8,0,319.07
137,98354,48,7128,2861,1.9,5.8,9.4,5,10.9,24.5,15.4,17,5.7,4.3,0,633.59
138,98339,16,3197,1360,4.9,8.7,11.7,14.9,9.3,26.9,7.1,13.4,2.1,1,1,382.71
139,98383,197,20319,8301,4.1,1.6,5.9,8.6,14.2,21.2,15.3,18.3,5.7,5.2,26,485.5
140,98232,60,4113,1711,0,4.3,3.5,16.7,16.2,11.2,11.5,26.1,6.3,4.3,0,286.48
141,98003,233,47407,18010,7.2,5.5,10.3,11.6,16.5,18.6,12.5,11.1,4,2.8,27,1241.23
142,98327,95,9285,3193,4.5,0.4,2.9,5.5,11.4,21.5,18.5,19.5,10.4,5.3,7,255.14
143,98252,50,9459,3631,3.6,3,5.3,10.2,17.3,12,20.6,16.7,6.5,4.9,0,631.32
144,98253,37,1722,890,6.2,12.2,7.6,6.4,11.6,15.3,13.3,11.1,6.7,9.6,0,338.47
145,98241,9,2041,818,7.2,8.9,9.9,8.7,13.7,22.4,9.4,14.5,1.6,3.7,0,254.39
146,98675,29,7395,2015,5.4,4.7,7.3,6.8,13.3,22,11.8,15.5,9.5,3.7,0,409.02
147,98375,163,29732,9595,2.5,1.8,5.1,6.3,12.7,22.4,19.4,20.9,5.5,3.3,0,532.03
148,99330,2,993,326,4.3,12.9,29.8,0,12.3,19,19.3,2.5,0,0,0,393.15
149,98359,70,4479,1645,4.1,3.6,6.7,6.2,10.2,22.7,15.8,14.2,10.9,5.4,0,561.02
150,99328,12,3683,1545,7.8,6.5,12.2,11.8,19.9,16.6,6.9,12.4,2.9,3,8,393.15
151,99206,113,36768,14611,5.8,4.7,10.1,13,12.6,20.8,15.5,12.1,3.6,1.9,3,856.42
152,98576,36,4883,1855,4.4,3.7,10.2,10.8,15.8,21.3,12.2,18.9,1.3,1.2,0,360.71
153,98010,103,5143,1981,4.2,1.6,6.2,8.4,8.4,24.3,8,20.1,9.2,9.5,0,359.75
154,98589,58,6944,2649,7.4,2.8,9.7,8.2,14.1,24.3,10.2,18.5,3.1,1.6,0,420.91
155,98264,103,19932,7242,3.3,4.4,9.3,9.7,13.5,22.5,14.7,15.2,5,2.6,1,780.33
156,98816,61,6504,2616,10.5,2,11.5,11.2,17.2,16.9,10.9,14.5,2.7,2.4,5,631.3
157,98672,85,6065,2428,3.7,3.6,7,14.6,15.4,19.9,19,14.5,0.9,1.6,0,480.72
158,98233,91,14896,5882,7.3,6,7.9,11.1,12.6,21.1,13.8,14,3.5,2.4,15,399.9
159,98236,121,6004,2639,3.2,1.9,8.5,5.9,15.2,22.3,14.8,15.1,7,6.1,0,594.61
160,98532,89,24078,8951,5.8,5.5,12.1,12.9,12.3,19.2,12.7,13.2,4.3,1.9,3,774.74
161,98660,137,12359,5341,10.7,8.7,11.8,8.9,13.9,17.4,11.2,10.5,4.3,2.6,12,659.27
162,98498,192,27614,11137,6.1,3.5,10.7,8.2,13.2,22,12.1,16.1,4.7,3.5,9,991.43
163,99037,60,12928,5285,3.6,3.6,7.9,11.3,17.3,18.8,13.1,14.6,6,3.9,8,724.32
164,98051,49,3320,1261,7.7,0.6,2.9,4.1,5.2,16.4,21.7,15.3,13.8,12.2,0,574.34
165,98465,67,6344,3035,10.1,9.4,9.1,7,14.6,17,14.3,10.5,4.2,3.8,2,695.81
166,98404,112,34119,10950,11.3,6.1,10.1,10.6,14.3,22,13,10,1.6,0.9,2,1060.42
167,98524,46,4212,1465,3,5.7,8.6,8.6,11.5,20.4,17.1,16.2,6.9,2,0,368.03
168,98445,115,30869,10809,3.6,4.3,6.2,8.2,14.5,26.2,18,13,3.5,2.5,2,979.9
169,98950,1,475,103,0,0,6.8,0,7.8,36.9,17.5,31.1,0,0,0,329.81
170,98944,24,22554,6181,5.6,7.7,15.5,13.5,16.6,18.2,10.5,6.7,3.4,2.2,8,326.13
171,98002,125,33991,12765,7.4,4.4,12.6,13.1,15,21.6,12.6,9.5,2.4,1.4,23,1061.13
172,99357,11,4287,900,2.9,2,11.4,17.6,21.9,23.2,5.1,10.1,5.4,0.3,0,722.46
173,99016,89,13634,5092,5,7.9,7,13.1,9.1,24.7,10.9,13.5,4.6,4.3,1,467.87
174,98057,162,12963,5854,7.8,8.6,13.2,9.8,15.1,17.6,11.9,11.4,1.8,2.8,49,694.97
175,99163,99,33822,11300,19.2,9.3,15.2,10.8,10.2,10.3,9.5,8.6,3.7,3.3,10,697.92
176,98312,246,31524,12609,9,2.9,9.5,8.3,12.5,22.6,14.3,13.9,4.1,2.8,11,1019.37
177,98333,131,3829,1404,2.7,1.6,4.6,2,12,16.1,17.2,13.3,13.1,17.5,0,624.4
178,98843,23,1894,590,3.2,1.2,4.6,12.9,24.6,25.4,13.4,10.3,2.5,1.9,0,288.68
179,99005,52,8488,2804,1.3,0.6,6.8,6.4,10.4,13.7,20.3,24.9,10,5.7,0,476.55
180,98597,162,22489,7957,7.6,6.4,6.9,8.9,14,24.8,15.7,10.5,3.4,1.9,2,549.4
181,98942,39,17015,6188,4.5,3.6,8.7,9.8,14.1,23.6,13.3,14.6,4,3.8,0,362.36
182,98230,204,15906,6608,7.6,5.3,8.4,7.1,13.4,22.5,11.9,13.8,5.1,4.8,18,605.42
183,98847,10,1814,626,8.9,3.5,7.8,9.1,32.3,18.4,8.8,2.2,0,8.9,0,255.12
184,98467,187,16009,6183,6.9,2.6,10.8,7.7,12,17.9,13,16.8,6.7,5.5,1,932.14
185,98685,383,28145,10107,1.9,3.5,8.2,7.4,9,14.1,17,19.2,9.8,10,14,813.19
186,98683,367,33652,13351,3.7,3.6,7.4,10.1,15.8,19.3,14,16.4,5.2,4.5,21,666.61
187,98270,275,48987,17224,5,3.3,6,7.8,13.4,19.1,16.4,21.1,5.2,2.7,0,1263.98
188,98407,337,21347,9014,6.2,3.8,6.7,7.3,11.9,17.9,15.6,15.8,7.2,7.7,7,1494.7
189,99201,64,13634,6536,22.9,10.8,16.9,12.1,10.9,13.9,5.7,3.6,1.8,1.5,32,434.76
190,99223,193,31331,12975,6.4,4.7,6.7,8.8,13.7,20,12.9,14.8,6.4,5.6,0,848.17
191,98338,173,26856,9117,3.9,2.9,5.1,4.5,13.3,23.3,19.8,19.2,4.2,3.7,0,767.71
192,99026,54,10002,3684,2.6,3.9,8.8,10.7,9.9,24.4,17.5,12.8,4.2,5.2,0,535.32
193,98371,187,20409,8312,4.8,4.2,7.4,8.5,13.3,23.2,12.3,17.3,5.4,3.7,12,1067.41
194,98856,24,2631,1224,5.9,6.7,16,17.7,18.9,14.6,7.9,7.3,2.9,2,1,292.08
195,98155,539,34174,13261,4.1,3.2,8,5.3,9.2,18.3,15,19.8,8.9,8.1,4,1919.8
196,98506,237,18418,7932,5.3,5.5,8.2,7.5,11.9,22.7,12.6,15.9,5.7,4.7,0,954.02
197,98047,43,6775,2382,8,0.8,6.2,10.5,21.3,23.9,10.2,17.3,0.7,1,0,411.46
198,99354,159,22911,9095,4,4.8,7.7,9.7,11.7,19.5,12,19.5,6.2,5,48,722.46
199,98903,38,14299,5123,7.4,8,10.8,10.5,15.9,20.1,11.8,10.5,2.2,2.7,0,354.91
200,99350,22,13359,4704,6.3,5.9,7.7,9.3,14.2,27.5,11.2,10.3,3,4.7,2,376.66
201,98362,138,23026,10010,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2,14,704.42
202,98926,109,31848,12473,14.6,6.4,10.8,8.5,13,18,11.8,11.3,4.4,1.3,14,469.27
203,98072,865,23006,8695,3.6,1.6,2.6,5.7,7.6,12.3,11.4,21.2,14.6,19.2,46,1629.43
